nu,block_size,scale_format,round_mode,rht,slope,slope_ci_low,slope_ci_high,gap_from_theoretical,intercept,c_hat,bucket,positive_slope_flag,n_resamples
gaussian,32,e4m3,rtne,True,-0.4848212184389163,-0.4852214859555916,-0.48443818693412366,0.01517878156108371,-0.8645687702276064,1.3964216542181829,weakening (slower decay than -0.5),False,2000
15,32,e4m3,sr,False,-0.4801560803753441,-0.4805469487595368,-0.47974764113635776,0.019843919624655926,-0.7037589542123821,1.6686949287147217,weakening (slower decay than -0.5),False,2000
15,16,e4m3,sr,True,-0.4891945000023663,-0.48962436296901357,-0.4887708771098186,0.010805499997633694,-0.7027624573081597,1.7609510656416159,weakening (slower decay than -0.5),False,2000
gaussian,16,e8m0,sr,True,-0.4901430296944873,-0.49057116777827514,-0.48981594776746545,0.009856970305512691,-0.6422957012513957,1.7818656729500533,weakening (slower decay than -0.5),False,2000
30,16,e4m3,sr,True,-0.4898171824470362,-0.4903481276759604,-0.4893791873873072,0.010182817552963797,-0.7099305764484394,1.740171834714388,weakening (slower decay than -0.5),False,2000
5,32,e8m0,rtne,False,-0.4655588029778309,-0.46596500174066596,-0.465072014455595,0.03444119702216908,-0.7433911663537782,1.5259679041567182,weakening (slower decay than -0.5),False,2000
gaussian,32,e8m0,sr,True,-0.48571288472030716,-0.4861190283991697,-0.48533600057118,0.014287115279692841,-0.6400233716526529,1.7227425989093803,weakening (slower decay than -0.5),False,2000
1,32,e8m0,sr,True,-0.010026727966144382,-0.010557783280610121,-0.00946913827067431,0.4899732720338556,-0.8079379348753434,0.8120237316828398,weakening (slower decay than -0.5),False,2000
30,16,e8m0,rtne,True,-0.49360279493501497,-0.493951910380454,-0.4932451419436155,0.006397205064985034,-0.7830211801605544,1.5420546975013383,weakening (slower decay than -0.5),False,2000
2,16,e4m3,rtne,True,-0.3620977306295336,-0.362370322805452,-0.3617713029368963,0.1379022693704664,-0.8473669229709985,1.3037143892517475,weakening (slower decay than -0.5),False,2000
gaussian,16,e8m0,rtne,False,-0.4953352419779309,-0.495756908061009,-0.49490471150185245,0.004664758022069115,-0.7843975899194506,1.5473273714823568,weakening (slower decay than -0.5),False,2000
30,16,e8m0,sr,False,-0.4906322709257825,-0.49107843421056896,-0.4901698884574629,0.009367729074217512,-0.6303881633158597,1.815773128847124,weakening (slower decay than -0.5),False,2000
2,16,e8m0,rtne,True,-0.37707461764348826,-0.3773769390361626,-0.3767879264144853,0.12292538235651174,-0.7733877196577739,1.344552355707794,weakening (slower decay than -0.5),False,2000
8,32,e4m3,sr,False,-0.47620998732274855,-0.4766006131844458,-0.4757569732379811,0.02379001267725145,-0.6958730643832136,1.658730879006921,weakening (slower decay than -0.5),False,2000
30,32,e4m3,rtne,True,-0.48444309994132606,-0.4848742562749446,-0.48407501265739655,0.01555690005867394,-0.8581518907891346,1.4045698992615803,weakening (slower decay than -0.5),False,2000
8,32,e4m3,rtne,False,-0.4799772089618364,-0.48030070825596577,-0.4795711053650805,0.020022791038163623,-0.8441746945241917,1.4078835239003917,weakening (slower decay than -0.5),False,2000
gaussian,32,e8m0,rtne,False,-0.49021577291737345,-0.49063160289723035,-0.48979887093959074,0.009784227082626551,-0.783957395727626,1.4950330877718172,weakening (slower decay than -0.5),False,2000
8,32,e8m0,rtne,True,-0.4865649636165722,-0.48702148261013717,-0.48605411020925876,0.0134350363834278,-0.7666837641022166,1.4934376486006644,weakening (slower decay than -0.5),False,2000
5,32,e8m0,sr,True,-0.4776994170876476,-0.4782478152483885,-0.4772929848161841,0.022300582912352374,-0.6059121560292011,1.7165552114922549,weakening (slower decay than -0.5),False,2000
gaussian,32,e8m0,sr,False,-0.4867516915979209,-0.4871686487959238,-0.4863449599704486,0.013248308402079079,-0.6365221930356717,1.7426373806817883,weakening (slower decay than -0.5),False,2000
